line_number;term;score;text
3;of;0.0;Vice President Vance, Speaker Johnson, Senator Thune, Chief Justice Roberts, justices of the Supreme Court of the United States, President Clinton, President Bush, President Obama, President Biden, Vice President Harris, and my fellow citizens, the golden age of America begins right now.  (Applause.)
3;of;0.0;Vice President Vance, Speaker Johnson, Senator Thune, Chief Justice Roberts, justices of the Supreme Court of the United States, President Clinton, President Bush, President Obama, President Biden, Vice President Harris, and my fellow citizens, the golden age of America begins right now.  (Applause.)
5;any longer;-0.064;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;all over;-0.032;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;will not;-0.646;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;administration;0.25;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;advantage;0.834;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;respected;0.816;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;ourselves;0.222;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;applause;0.906;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;flourish;0.878;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;forward;0.746;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;country;0.396;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;nation;0.188;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;simply;0.07;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;during;0.0;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;single;-0.418;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;allow;0.396;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;trump;0.28;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;first;0.25;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;world;0.244;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;taken;0.0;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;again;-0.096;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;will;0.396;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;will;0.396;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;will;0.396;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;very;0.143;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;from;0.0;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;this;0.0;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;envy;-0.52;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;day;0.438;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;day;0.438;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;put;0.04;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;and;0.0;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;and;0.0;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;our;0.0;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;be;0.34;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;be;0.34;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;be;0.34;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;we;0.267;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;we;0.267;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;of;0.0;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;of;0.0;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;of;0.0;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
5;to;0.0;From this day forward, our country will flourish and be respected again all over the world.  We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer.  During every single day of the Trump administration, I will, very simply, put America first.  (Applause.)
7;justice department;0.258;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;sovereignty;0.438;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;government;-0.146;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;applause;0.906;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;restored;0.784;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;justice;0.52;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;vicious;-0.584;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;violent;-0.776;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;safety;0.416;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;scales;-0.122;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;unfair;-0.654;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;will;0.396;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;will;0.396;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;will;0.396;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;will;0.396;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;and;0.0;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;and;0.0;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;our;0.0;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;our;0.0;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;our;0.0;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;end;-0.604;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;be;0.34;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;be;0.34;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;be;0.34;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;of;0.0;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
7;of;0.0;Our sovereignty will be reclaimed.  Our safety will be restored.  The scales of justice will be rebalanced.  The vicious, violent, and unfair weaponization of the Justice Department and our government will end.  (Applause.)
9;top priority;0.532;And our top priority will be to create a nation that is proud, prosperous, and free.  (Applause.)
9;that is;-0.194;And our top priority will be to create a nation that is proud, prosperous, and free.  (Applause.)
9;be to;-0.076;And our top priority will be to create a nation that is proud, prosperous, and free.  (Applause.)
9;prosperous;0.896;And our top priority will be to create a nation that is proud, prosperous, and free.  (Applause.)
9;applause;0.906;And our top priority will be to create a nation that is proud, prosperous, and free.  (Applause.)
9;create;0.572;And our top priority will be to create a nation that is proud, prosperous, and free.  (Applause.)
9;nation;0.188;And our top priority will be to create a nation that is proud, prosperous, and free.  (Applause.)
9;proud;0.812;And our top priority will be to create a nation that is proud, prosperous, and free.  (Applause.)
9;free;0.792;And our top priority will be to create a nation that is proud, prosperous, and free.  (Applause.)
9;will;0.396;And our top priority will be to create a nation that is proud, prosperous, and free.  (Applause.)
9;and;0.0;And our top priority will be to create a nation that is proud, prosperous, and free.  (Applause.)
9;and;0.0;And our top priority will be to create a nation that is proud, prosperous, and free.  (Applause.)
9;our;0.0;And our top priority will be to create a nation that is proud, prosperous, and free.  (Applause.)
11;exceptional;0.612;America will soon be greater, stronger, and far more exceptional than ever before.  (Applause.)
11;applause;0.906;America will soon be greater, stronger, and far more exceptional than ever before.  (Applause.)
11;stronger;0.218;America will soon be greater, stronger, and far more exceptional than ever before.  (Applause.)
11;greater;0.51;America will soon be greater, stronger, and far more exceptional than ever before.  (Applause.)
11;before;-0.038;America will soon be greater, stronger, and far more exceptional than ever before.  (Applause.)
11;more;0.667;America will soon be greater, stronger, and far more exceptional than ever before.  (Applause.)
11;will;0.396;America will soon be greater, stronger, and far more exceptional than ever before.  (Applause.)
11;and;0.0;America will soon be greater, stronger, and far more exceptional than ever before.  (Applause.)
11;far;-0.482;America will soon be greater, stronger, and far more exceptional than ever before.  (Applause.)
11;be;0.34;America will soon be greater, stronger, and far more exceptional than ever before.  (Applause.)
13;return to;-0.334;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;new era;0.096;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;of a;-0.222;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;opportunity;0.938;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;optimistic;0.958;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;presidency;0.552;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;thrilling;0.893;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;confident;0.53;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;sunlight;0.812;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;national;0.396;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;sweeping;-0.312;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;success;0.918;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;country;0.396;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;chance;0.666;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;entire;0.378;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;change;0.25;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;before;-0.038;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;start;0.368;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;seize;0.312;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;world;0.244;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;never;-0.466;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;like;0.438;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;tide;0.082;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;that;0.0;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;over;0.0;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;this;0.0;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;and;0.0;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;and;0.0;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;are;0.0;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;we;0.267;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;of;0.0;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;of;0.0;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;to;0.0;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;at;0.0;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;is;0.0;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
13;is;0.0;I return to the presidency confident and optimistic that we are at the start of a thrilling new era of national success.  A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.
15;annihilated;-0.84;But first, we must be honest about the challenges we face.  While they are plentiful, they will be annihilated by this great momentum that the world is now witnessing in the United States of America.
15;plentiful;0.666;But first, we must be honest about the challenges we face.  While they are plentiful, they will be annihilated by this great momentum that the world is now witnessing in the United States of America.
15;momentum;0.326;But first, we must be honest about the challenges we face.  While they are plentiful, they will be annihilated by this great momentum that the world is now witnessing in the United States of America.
15;honest;0.854;But first, we must be honest about the challenges we face.  While they are plentiful, they will be annihilated by this great momentum that the world is now witnessing in the United States of America.
15;united;0.562;But first, we must be honest about the challenges we face.  While they are plentiful, they will be annihilated by this great momentum that the world is now witnessing in the United States of America.
15;great;0.916;But first, we must be honest about the challenges we face.  While they are plentiful, they will be annihilated by this great momentum that the world is now witnessing in the United States of America.
